threshold,acc,p_val,contingency,shapelet,distances
0,0.609375,2.039420106422485e-06,"[52, 110, 17, 145]","[2, 3]","[nan, 1.0, 1.0, 1.0, 1.0, nan, 0.0, nan, 1.0, 1.0, nan, nan, 0.0, nan, nan, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 2.0, nan, nan, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, nan, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, nan, 1.0, nan, nan, 0.0, 2.0, 1.0, 5.0, 1.0, 0.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, nan, 1.0, 1.0, 0.0, 1.0, nan, nan, 1.0, 1.0, nan, 1.0, 0.0, 1.0, 1.0, nan, 0.0, nan, 1.0, nan, 2.0, 1.0, 1.0, 5.0, nan, 1.0, 1.0, 0.0, 0.0, nan, nan, 2.0, 1.0, 1.0, nan, 0.0, 0.0, 5.0, 0.0, 1.0, 1.0, 1.0, 0.0, 5.0, 0.0, 1.0, nan, 1.0, 0.0, 1.0, 0.0, 1.0, nan, nan, 1.0, nan, 1.0, 1.0, 0.0, 1.0, 1.0, nan, nan, 1.0, 1.0, 1.0, 1.0, nan, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, nan, 0.0, 0.0, nan, 0.0, 2.0, 0.0, 0.0, nan, 0.0, 1.0, nan, 1.0, nan, 1.0, nan, nan, nan, 1.0, 0.0, 0.0, 1.0, nan, 1.0, nan, 5.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, nan, 2.0, 1.0, 1.0, 5.0, 0.0, 1.0, 1.0, 1.0, nan, 1.0, 5.0, 1.0, 0.0, 0.0, 2.0, nan, 2.0, 1.0, 0.0, nan, 1.0, 1.0, 1.0, nan, 1.0, nan, 1.0, 1.0, 1.0, 5.0, 0.0, 0.0, nan, 1.0, 0.0, 5.0, 1.0, nan, 0.0, nan, 1.0, 0.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 5.0, 1.0, 1.0, 1.0, nan, nan, 1.0, 1.0, 1.0, 1.0, nan, 1.0, 0.0, 0.0, 0.0, 1.0, nan, 4.0, 1.0, nan, nan, 1.0, nan, 1.0, 1.0, 1.0, 1.0, nan, 1.0, 5.0, 1.0, nan, 1.0, 1.0, nan, 5.0, nan, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, nan, nan, 1.0, 1.0, 5.0, 1.0, 1.0, 1.0, nan, 1.0, 2.0, 0.0, 0.0, 1.0, nan, 1.0, 0.0, 1.0, nan, 1.0, nan, nan, 1.0, nan, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, nan, 0.0, 1.0, 5.0, 1.0, 1.0, 1.0, 2.0, nan, nan, 1.0, 1.0, nan, nan, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, nan, nan, 0.0]"
1,0.603125,1.382232729463453e-05,"[54, 108, 21, 141]","[1, 3]","[nan, 2.0, 2.0, 2.0, 2.0, nan, 1.0, nan, 4.0, 2.0, nan, nan, 1.0, nan, nan, 4.0, 2.0, 2.0, 4.0, 4.0, 2.0, 5.0, nan, nan, 1.0, 5.0, 4.0, 1.0, 4.0, 2.0, nan, 2.0, 2.0, 1.0, 2.0, 1.0, 4.0, 2.0, nan, 2.0, nan, nan, 1.0, 5.0, 2.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0, 5.0, 2.0, 4.0, 2.0, 4.0, nan, 2.0, 4.0, 1.0, 4.0, nan, nan, 2.0, 2.0, nan, 2.0, 1.0, 4.0, 2.0, nan, 1.0, nan, 4.0, nan, 5.0, 2.0, 4.0, 4.0, nan, 4.0, 2.0, 1.0, 1.0, nan, nan, 1.0, 2.0, 4.0, nan, 1.0, 1.0, 4.0, 1.0, 2.0, 2.0, 2.0, 1.0, 4.0, 1.0, 2.0, nan, 2.0, 1.0, 4.0, 1.0, 4.0, nan, nan, 2.0, nan, 2.0, 2.0, 1.0, 4.0, 2.0, nan, nan, 2.0, 2.0, 4.0, 2.0, nan, 2.0, 1.0, 4.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, nan, 1.0, 1.0, nan, 1.0, 5.0, 1.0, 1.0, nan, 1.0, 2.0, nan, 2.0, nan, 2.0, nan, nan, nan, 4.0, 1.0, 1.0, 2.0, nan, 2.0, nan, 4.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, nan, 5.0, 4.0, 2.0, 4.0, 1.0, 2.0, 2.0, 2.0, nan, 4.0, 4.0, 4.0, 1.0, 1.0, 5.0, nan, 5.0, 2.0, 1.0, nan, 2.0, 4.0, 2.0, nan, 2.0, nan, 2.0, 2.0, 2.0, 4.0, 1.0, 1.0, nan, 2.0, 1.0, 4.0, 4.0, nan, 1.0, nan, 0.0, 1.0, 2.0, 5.0, 5.0, 2.0, 2.0, 1.0, 4.0, 4.0, 2.0, 2.0, nan, nan, 2.0, 4.0, 2.0, 2.0, nan, 4.0, 1.0, 1.0, 1.0, 2.0, nan, 4.0, 4.0, nan, nan, 4.0, nan, 2.0, 2.0, 2.0, 2.0, nan, 2.0, 4.0, 2.0, nan, 2.0, 2.0, nan, 4.0, nan, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 5.0, 1.0, nan, nan, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, nan, 2.0, 1.0, 1.0, 1.0, 4.0, nan, 2.0, 1.0, 2.0, nan, 2.0, nan, nan, 2.0, nan, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, nan, 1.0, 4.0, 4.0, 4.0, 4.0, 2.0, 5.0, nan, nan, 4.0, 2.0, nan, nan, 2.0, 4.0, 1.0, 2.0, 4.0, 2.0, 4.0, nan, nan, 1.0]"
